set_name,sequence_index,order,title,subtitle,artist,song_id,set_item_id,key_offset,duration,item_type
Solo -Long Original,0,0,Drink With Me,I got my,,12,37,10,180,1
Solo -Long Original,1,1,I Wish You Well,,Charley Ramsay,43,36,0,,1
Solo -Long Original,2,2,If I Could,,Charley Ramsay,38,59,0,,1
Solo -Long Original,3,3,Lockhart,,Charley Ramsay,31,38,0,158,1
Solo -Long Original,4,4,Helicopters and Horses,,Charley Ramsay,32,39,0,206,1
Solo -Long Original,5,5,Goldfish,,Charley Ramsay,24,60,0,210,1
Solo -Long Original,6,6,She Goes How She Goes,,,14,40,0,41,1
Solo -Long Original,7,7,Bottle Rocket Sunsets,,Charley Ramsay,41,44,0,207,1
Solo -Long Original,8,8,Our Last Days Together,,Charley Ramsay,46,43,0,165,1
Solo -Long Original,9,9,Ride,,Charley Ramsay,16,61,0,244,1
Solo -Long Original,10,10,You Bide Your Time,,Charley Ramsay,30,42,0,204,1
Solo -Long Original,11,11,Catalyst (to the 7),,Charley Ramsay,26,62,0,,1
Solo -Long Original,12,12,Tiger Town,,Charley Ramsay,47,41,0,203,1
Solo -Long Original,13,12,"Peace, Salam, Shalom",,Charley Ramsay,33,66,0,195,1
Solo -Long Original,14,13,Another Perfect Day,,Charley Ramsay,34,45,0,140,1
Solo -Long Original,15,14,Anything,,Charley Ramsay,49,48,0,174,1
Solo -Long Original,16,15,Somebody Somewhere,,Charley Ramsay,39,49,0,215,1
Solo -Long Original,17,16,Cisco,,Charley Ramsay,18,63,0,256,1
Solo -Long Original,18,17,Heaven and Wine,,Charley Ramsay,48,50,0,286,1
Solo -Long Original,19,18,If I Could,,,13,54,0,425,1
Solo -Long Original,20,18,Suzanne,,Charley Ramsay; Rob Thomas,27,64,0,206,1
Solo -Long Original,21,19,Judge's Son,,Charley Ramsay,42,51,0,,1
Solo -Long Original,22,20,Tip The Band,,Charley Ramsay,44,52,0,,1
Solo -Long Original,23,20,If I Could,,,13,56,0,425,1
Solo -Long Original,24,21,Did Van Gough Start Out This Way,,Charley Ramsay,28,53,0,,1
Solo -Long Original,25,21,If I Could,,,13,57,0,425,1
Solo -Long Original,26,22,If I Could,,,13,58,0,425,1
Solo -Long Original,27,22,[Set Break],,,0,65,0,,3
